id,category,title,price,unit_price,description,image_urls,sale_tag,cross_out_price
101,Bundles,Special Bath Bundle,£30.00,£30 per Item,"Transform your bath time into a spa-like retreat with our luxurious Special Bath Bundle. This thoughtfully curated set includes everything you need to relax, refresh, and rejuvenate after a long day. Inside, you'll find a soothing blend of bath essentials—aromatherapy bath salts, a rich foaming body wash, a soft exfoliating sponge, and a calming lavender candle to set the perfect mood. Ideal as a gift or a personal treat, this bundle is your ticket to ultimate self-care.",images/101.png,TRUE,35
102,Bundles,Special Bundle - Period Pack,£30.00,£30 per Item,"Take care of yourself with comfort and confidence during your cycle with our Special Bundle – Period Pack. This essential kit is designed to support you through your period with soothing, practical, and comforting items that make a real difference. Whether you’re at home, at work, or on the go, this bundle has your back—because you deserve extra care, every month.",images/102.png,TRUE,35
103,SkinCare,Facial Toner Mist - Witch Hazel with Lavender,£5.00,£5 per Item,"Refresh and hydrate your skin with our Facial Toner Mist, infused with soothing witch hazel and calming lavender. Ideal for setting makeup or a mid-day skin boost.",images/103.jpg,FALSE,
104,HairCare,Wild Hare Solid Shampoo - Tutti Frutti,£5.00,£5 per Item,Brighten your hair routine with the Wild Hare Solid Shampoo in a juicy Tutti Frutti scent. This eco-friendly bar gently cleanses while leaving your hair soft and smelling delightful.,images/104.jpg,FALSE,
105,Accessories,Honeysuckle Fragrance Candle,£4.00,£4 per Item,"Fill your space with the sweet, floral scent of our Honeysuckle Fragrance Candle. Hand-poured and long-lasting, it's perfect for creating a relaxing atmosphere.",images/105.jpg,FALSE,
106,HairCare,Organic Hair Serum - Carrot Seed,£5.00,£5 per Item,"Nourish and protect your hair with our Organic Hair Serum featuring carrot seed oil. Ideal for dry or damaged hair, it adds shine and promotes a healthy scalp.",images/106.jpg,FALSE,
107,Accessories,Bamboo & Linen Bath Sponge - Charcoal,£3.50,£3.5 per Item,"Gently exfoliate and cleanse with our Bamboo & Linen Bath Sponge infused with charcoal. Naturally antibacterial and eco-friendly, perfect for a refreshing bath experience.",images/107.jpg,FALSE,
108,Accessories,Bamboo Sanitary Towels,£2.50,£2.5 per Item,"Stay fresh and confident with our ultra-soft, eco-friendly Bamboo Sanitary Towels. Breathable, absorbent, and biodegradable, better for you and the planet.",images/108.jpg,FALSE,
109,SkinCare,Clay Face Mask,£4.00,£4 per Item,Detoxify and rejuvenate your skin with our all-natural Clay Face Mask. Perfect for drawing out impurities and leaving your skin feeling smooth and radiant.,images/109.jpg,FALSE,
110,Accessories,Toiletry Bag - Natural,£2.00,£2 per Item,"Keep your essentials organized with our minimalist Toiletry Bag in natural cotton. Durable, spacious, and ideal for travel or everyday use.",images/110.jpg,FALSE,
111,Accessories,Essential Oil Bath Bomb - Chamomile & Grapefruit,£2.50,£2.5 per Item,"Unwind with our Essential Oil Bath Bomb, blending calming chamomile with uplifting grapefruit. A fizzy, fragrant escape for your next bath.",images/111.jpg,FALSE,
112,SkinCare,Greenman Soap - Gentle and Kind,£3.50,£3.5 per Item,"Treat your skin to the gentle touch of Greenman Soap. Made with natural ingredients, it's kind to your skin and perfect for daily cleansing.",images/112.jpg,FALSE,
